,acc_gold_max,acc_gold_min,acc_train_max,acc_train_min,desc,f1_gold_max,f1_gold_min,f1_train_max,f1_train_min,name,precision_gold_max,precision_gold_min,precision_train_max,precision_train_min,recall_gold_max,recall_gold_min,recall_train_max,recall_train_min
0,0.66796875,0.3997395833333333,0.8970588235294118,0.4498424369747899,word,0.5418808587401062,0.385259934004349,0.9095678864269562,0.4089981401162897,TASK3_B_word,0.5275852007469655,0.4231703250731291,0.8880513096470295,0.46011456021435243,0.6140915127198143,0.4222688221808614,0.9392391320001325,0.4814921878549647
1,0.66796875,0.36328125,0.8721113445378151,0.44669117647058826,word,0.5617645170803863,0.36644045702016714,0.8843167126496837,0.4094932175922752,TASK3_B_word,0.5522810471799442,0.35023734080725144,0.8520857662625534,0.3966588693319375,0.6394280698320137,0.38464814342222786,0.9249839170890443,0.44188367046420984
2,0.6875,0.29296875,0.9900210084033614,0.39259453781512604,word,0.5612764897323477,0.2985872475265667,0.9909810080432584,0.3962705298280868,TASK3_B_word,0.5778276615218471,0.42021347334600645,0.9886326557030495,0.49333523955160496,0.5904256761993335,0.44060802946886135,0.9942400034922299,0.5106378606523722
3,0.6901041666666666,0.28515625,0.9965861344537815,0.37762605042016806,word,0.5329825118568718,0.3043451559047575,0.9970491945389619,0.4024214276018937,TASK3_B_word,0.5448230822894466,0.4344935052259862,0.9961594090486011,0.4613347333997274,0.5715757128355132,0.4519578014160993,0.9982004108479919,0.51555508683788
4,0.5950520833333334,0.3658854166666667,0.7182247899159664,0.41255252100840334,word,0.48674031205143414,0.3631742757232526,0.7176863782759142,0.37933025812064847,TASK3_B_word,0.532184741525332,0.388777547589023,0.6724491132689089,0.4159199581121276,0.5588545001089718,0.46112447555204905,0.82269947129805,0.469614865342198
5,0.62109375,0.3697916666666667,0.8248424369747899,0.41990546218487396,word,0.5122319141561702,0.36619562564464386,0.8513791627019779,0.4059380727954166,TASK3_B_word,0.517465929382765,0.4062621438985651,0.8178069483914974,0.4387602560180727,0.5919417889654841,0.4075269817110637,0.903778255294216,0.43736145627751133
6,0.66015625,0.4375,0.9981617647058824,0.5123424369747899,word,0.5074588584504591,0.3291746549536918,0.9983843420383338,0.3710034125336921,TASK3_B_word,0.5210739723239723,0.3254263632086526,0.9977891145190997,0.3826256302184862,0.5422766761211796,0.40934970826275174,0.998983150433804,0.4624567401421218
7,0.69921875,0.3268229166666667,0.9992121848739496,0.4327731092436975,word,0.5504017314351676,0.28072933514481035,0.999532448579999,0.3089348392431237,TASK3_B_word,0.5845462616161973,0.31776450950179763,0.999507824426758,0.39099405995086123,0.585504048200227,0.3790919258398933,0.999557172237361,0.41447381647250314
8,0.6809895833333334,0.3671875,0.9971113445378151,0.44380252100840334,word,0.5353086984554062,0.3624184283946595,0.9977624948596846,0.41216063443635675,TASK3_B_word,0.5386816039011503,0.4436767527114555,0.9973199903846849,0.497247265022848,0.5665917658264358,0.4482523378101364,0.99820933539849,0.5110581810885659
9,0.7083333333333334,0.4322916666666667,0.9934348739495799,0.5034138655462185,word,0.5793261208905367,0.38702694348712213,0.9942699360701758,0.451655681720148,TASK3_B_word,0.570886701593807,0.4339172312911556,0.9924093738350267,0.47226746948121884,0.6204121304862473,0.5096933150719122,0.9964803230510036,0.5690269348100292
10,0.6744791666666666,0.3984375,0.9981617647058824,0.4325105042016807,word,0.5129658284415128,0.3275256640016224,0.9978572631475875,0.3902579770582905,TASK3_B_word,0.524764219528706,0.42054539295392956,0.997269794463672,0.48363087653346143,0.534648857545665,0.41686235759125784,0.9988339758267766,0.4996873735390881
11,0.65234375,0.359375,0.9952731092436975,0.45535714285714285,word,0.5175769471479028,0.3169796230571589,0.9933348530087315,0.3992403557592663,TASK3_B_word,0.5240985361913839,0.4064279980314325,0.9916664551473836,0.4764374674551564,0.5650532173115033,0.46086532724887436,0.9958455774149602,0.5455969144420199
12,0.6354166666666666,0.4114583333333333,0.9698004201680672,0.5386029411764706,word,0.5198680297997099,0.3892063856255915,0.9766992094476172,0.4242715784621658,TASK3_B_word,0.5112894849296781,0.3995197985910783,0.9711337042212982,0.485361668317934,0.5579055297086906,0.39595876169388144,0.9829844693222474,0.4312177425860424
13,0.6666666666666666,0.3020833333333333,0.9821428571428571,0.3243172268907563,word,0.5174102589741785,0.3312462674954168,0.9831676796959862,0.3519746929221154,TASK3_B_word,0.6280669850749747,0.45479839935416916,0.9789591258658803,0.48742298495215136,0.5938837670151953,0.45101660211808586,0.9899077310716959,0.4691298043475174
14,0.66015625,0.4947916666666667,0.9957983193277311,0.6016281512605042,word,0.5097814222869096,0.41096125379503595,0.9960585038668436,0.4360526617039039,TASK3_B_word,0.5139100166758579,0.413294965886392,0.9968869598535849,0.4426953335615416,0.5505199994694684,0.4270461399926315,0.9956146095153711,0.43749406885222564
15,0.6653645833333334,0.3619791666666667,0.9939600840336135,0.41307773109243695,word,0.5069463017516409,0.3706468601231461,0.9916261541058682,0.3863101014137717,TASK3_B_word,0.5817286068229464,0.41560939125558344,0.9899543412706259,0.44766897172945436,0.5523331849066562,0.4542842260378921,0.9954215019846762,0.5275717372407511
