,acc_gold_max,acc_gold_min,acc_train_max,acc_train_min,desc,f1_gold_max,f1_gold_min,f1_train_max,f1_train_min,name,precision_gold_max,precision_gold_min,precision_train_max,precision_train_min,recall_gold_max,recall_gold_min,recall_train_max,recall_train_min
0,0.6653645833333334,0.3776041666666667,0.8904936974789915,0.39784663865546216,word,0.5379233022502867,0.3100611288082139,0.9212060190810183,0.33045992958278764,TASK3_B_word,0.5241604098741455,0.35755580006014115,0.914708701380862,0.3800031836309511,0.5906118630637739,0.38963946409332284,0.9289280895678447,0.40505698372232957
1,0.6419270833333334,0.19401041666666666,0.8227415966386554,0.24579831932773108,word,0.5223886434535707,0.1531749541404612,0.844010796436336,0.16552973236440977,TASK3_B_word,0.5078241119907787,0.10788198722975242,0.8156985470834439,0.14422804135410275,0.5959497918210974,0.34114906832298136,0.8967290036995922,0.33857274838323054
2,0.59765625,0.2734375,0.78125,0.3476890756302521,word,0.4961802270357486,0.3136444192124297,0.7812004225974851,0.3248928042060242,TASK3_B_word,0.49171545933188093,0.43589505314001636,0.7363866352797553,0.4164567258982153,0.5672343706195683,0.35272636020443665,0.8610523165551872,0.34858931562572115
3,0.5885416666666666,0.2669270833333333,0.8014705882352942,0.31066176470588236,word,0.46484092725875464,0.2743290440803917,0.7972202933524406,0.26369543558170316,TASK3_B_word,0.4714002392324071,0.3745189398234481,0.7548107221459405,0.40169143382335387,0.5480512141840397,0.449235663419671,0.8777584717996243,0.43892566757587026
4,0.5455729166666666,0.25,0.6777836134453782,0.31512605042016806,word,0.4545843055732774,0.2935563338656015,0.6534990393551243,0.295038480819941,TASK3_B_word,0.5022233906875797,0.3809249850567842,0.6114576492469217,0.3838398852745978,0.5430538675185554,0.40511831269122733,0.7948889487273822,0.4244784083582801
5,0.6184895833333334,0.3736979166666667,0.8500525210084033,0.45509453781512604,word,0.5143299660679231,0.31805117051431336,0.8781588338303824,0.34894938078018334,TASK3_B_word,0.5117191260833829,0.3595246671660517,0.8598691224926704,0.43494676608006255,0.591076447074431,0.4041334200368413,0.9134448084240996,0.4523168164208059
6,0.6067708333333334,0.22786458333333334,0.654936974789916,0.27205882352941174,word,0.46090213602322944,0.25581636211229264,0.628904028497776,0.26290852214026494,TASK3_B_word,0.5191210854386911,0.2611122056709143,0.5979658898882245,0.27855650502941726,0.5410109695801528,0.4328862015321847,0.7896160427587973,0.41340913299248716
7,0.6171875,0.33984375,0.836922268907563,0.42857142857142855,word,0.5001759754445216,0.2969785593190106,0.8844575781057579,0.33887722296995326,TASK3_B_word,0.5131779726498196,0.3145261670159885,0.8694135428359726,0.4641244852811509,0.57738250072111,0.339940978988572,0.9047943710238184,0.396827777854511
8,0.5234375,0.359375,0.6523109243697479,0.4117647058823529,word,0.45931327825216056,0.3497729772958752,0.6308474744894179,0.3514135601169774,TASK3_B_word,0.478583393212947,0.3736772574326749,0.595445917293254,0.39031411904107566,0.5611326481917872,0.4645169341019403,0.7824572543397894,0.47775599280780184
9,0.609375,0.3776041666666667,0.8195903361344538,0.40756302521008403,word,0.4915009438946422,0.3804908810606566,0.8596346171146342,0.3718714017962312,TASK3_B_word,0.5024636321162915,0.3731275517417929,0.8348389999628358,0.3699782812833914,0.5527021133611238,0.4706621509774418,0.8922079450673208,0.45243312795696244
